Train,Étape,Heure théorique,Cause,Jours de circulation
50238,Départ FA / Titoir-Fosse,16:30,-,"Mardi,Jeudi"
50238,Arrivée LHTE,16:45,-,"Mardi,Jeudi"
50238,Mise en tête,16:55,-,"Mardi,Jeudi"
50238,Annoncé Bon au départ,17:40,-,"Mardi,Jeudi"
50238,Retour du régulateur,17:42,-,"Mardi,Jeudi"
50238,Ouverture du signal,17:43,-,"Mardi,Jeudi"
50238,Départ pour la ligne,17:47,-,"Mardi,Jeudi"
61175,Départ FA / Titoir-Fosse,05:10,-,"Lundi,Mercredi,Vendredi"
61175,Arrivée LHTE,05:25,-,"Lundi,Mercredi,Vendredi"
61175,Mise en tête,05:35,-,"Lundi,Mercredi,Vendredi"
61175,Annoncé Bon au départ,06:20,-,"Lundi,Mercredi,Vendredi"
61175,Retour du régulateur,06:22,Ralentissement voie,"Lundi,Mercredi,Vendredi"
61175,Ouverture du signal,06:23,-,"Lundi,Mercredi,Vendredi"
61175,Départ pour la ligne,06:27,-,"Lundi,Mercredi,Vendredi"
